time,seconds_elapsed,dBFS
1723738234333000000,58.94,-61.709693908691406
1723738234438000000,59.045000244140624,-62.94160842895508
1723738234542000000,59.14900024414062,-65.90794372558594
1723738234646000000,59.25300024414062,-66.5154037475586
1723738234751000000,59.358,-61.06711196899414
1723738234856000000,59.463,-59.05234146118164
1723738234961000000,59.568,-61.267417907714844
1723738235066000000,59.67299975585937,-62.875484466552734
1723738235170000000,59.77699975585937,-63.52754211425781
1723738235271000000,59.878,-59.570430755615234
1723738235374000000,59.981000244140624,-61.37310791015625
1723738235479000000,60.086,-64.25537872314453
1723738235583000000,60.19,-65.81204223632812
1723738235687000000,60.294,-62.91775131225586
1723738235793000000,60.4,-60.10064697265625
1723738235897000000,60.504,-62.33028030395508
1723738235998000000,60.605000244140626,-63.75649642944336
1723738236103000000,60.71,-63.65010452270508
1723738236208000000,60.815,-64.11507415771484
1723738236313000000,60.92,-65.33909606933594
1723738236417000000,61.024,-54.18657684326172
1723738236523000000,61.13,-55.662837982177734
1723738236627000000,61.234,-58.899986267089844
1723738236732000000,61.339,-61.383060455322266
1723738236836000000,61.443,-62.98130798339844
1723738236941000000,61.548,-64.48456573486328
1723738237046000000,61.65300024414063,-62.566001892089844
1723738237149000000,61.756,-62.64105224609375
1723738237254000000,61.86100024414063,-62.94535446166992
1723738237359000000,61.966,-64.49604034423828
1723738237460000000,62.067,-65.77275085449219
1723738237566000000,62.173000244140624,-59.538265228271484
1723738237670000000,62.27700024414062,-61.31903839111328
1723738237774000000,62.38100024414062,-64.5914077758789
1723738237879000000,62.486,-63.73051834106445
1723738237984000000,62.591,-62.30641555786133
1723738238090000000,62.69699975585937,-65.04261016845703
1723738238194000000,62.80099975585937,-65.36444091796875
1723738238296000000,62.903,-63.54532241821289
1723738238401000000,63.008,-65.33222961425781
1723738238503000000,63.11,-64.29595184326172
1723738238608000000,63.215,-61.801124572753906
1723738238713000000,63.32,-63.59513473510742
1723738238818000000,63.424999755859375,-63.591087341308594
1723738238920000000,63.527,-65.78218078613281
1723738239025000000,63.632,-57.82697677612305
1723738239128000000,63.735,-60.042686462402344
1723738239234000000,63.84099975585937,-62.84383010864258
1723738239338000000,63.94499975585938,-63.725162506103516
1723738239441000000,64.048,-64.81668090820312
1723738239542000000,64.14900024414062,-66.64382934570312
1723738239643000000,64.25,-64.46896362304688
1723738239748000000,64.355,-67.43423461914062
1723738239853000000,64.46,-69.17317199707031
1723738239958000000,64.56500024414062,-63.336524963378906
1723738240063000000,64.67,-58.24553680419922
1723738240164000000,64.771,-60.09611892700195
1723738240269000000,64.876,-61.3588752746582
1723738240375000000,64.982,-33.625648498535156
